17,AUTO COMP.(REF.),SC/AUTO.COMP(REF)-1.2,AUTONOMIC COMPUTING CONCEPTS INFRASTRUCTURE AND APPLICATIONS.,MANISH PARASHAR SALIM HARIRI (ZEROX COPY),849393679,568,1
18,C,SC/C-1.1,BEGINNING C#,Jacquie Barker ,159059360X,848,1
19,C,SC/C-1.10,ALGORITHMS IN C,Robert Sedgewick,8131712915,720,1
20,C,SC/C-1.2,THE BEGINNERS GUIDE TO C,Gery Perry,789751984,520,1
21,C,SC/C-1.3,TYPE & LEARN C.,Tom Swan,156884073X,375,1
22,C,SC/C-1.4,TEST YOUR C SKILLS,Yashwant Kanitkar,8183331181,461,1
23,C,SC/C-1.5,PROGRAMMING WITH C,Byron Gottfried,70145903,530,1
24,C,SC/C-1.6,TURBO C,Al Stevens,317589717,300,2
25,C,SC/C-1.7,C PROGRAMMING LANGUAGE,Kernighan Retchie,9332549443,248,2
26,C,SC/C-1.8,C DISK TUTOR,L  John Riper,78817986,464,1
27,C,SC/C-1.9,LEARN C IN 3 DAYS,Sam Abolrous,8170291704,200,1
28,C,SC/C-2.1,C ODYSSEY NETWORKS & RDBMS, V  Mukhi,8170291666,251,1
29,C,SC/C-2.2,COMPILER DESIGN IN C,Allen Holub,812030778X,924,1
30,C,SC/C-2.3,WRITING DOS DEVICE DRIVERS IN C, Robert S  Lai,201608375,576,1
31,C,SC/C-2.4,GRAPHIC USER INTERFACE PROGRAMMING WITH C,Robert F Ladymon,1556221886,366,1
32,C,SC/C-2.5,DATA STRUCTURES & PROGRAM DESIGN,Robert L Kruse,8177584235,624,1
33,C,SC/C-2.6,ALGORITHMS IN C,Robert Sedgewick,8131712915,720,1
34,C,SC/C-2.7,C THE COMPLETE REFERENCE ,Herbert Schildt,007053246X,1068,2
35,C,SC/C-2.8,PROGRAMMING IN C#,E  Balgurusamy,70702071,508,1
36,C,SC/C-2.8,THE C PROGRAM LANGUAGE , Dennis M  Ritchie,131103628,274,1
37,C,SC/C-3.2,LET US C,YASHWANT KANETKAR,8183331637,656,2
38,C,SC/C-3.5,DATA STRUCTURES A PSEUDOCODE APPROACH WITH C.,RICAHRD F  GILBERG AND BEHROUZ A. FAROUZAN.,9812406220,671,1
39,C,Sc/c-3.6,THE SPIRIT OF “C” AN INTRODUCTION TO MODERN PROGRAMMING.,MULLISH COOPER,314285008,400,1
40,C++,SC/C++1.10,PROGRAMMING IN C++,Dewhurst  stork,8131791440,904,3
41,C++,SC/C++1.3,OBJECT ORIENTED PROGRAMMING IN TURBO C++,Robery Latore,8185623228,814,2
42,C++,SC/C++1.4,C++ PROGRAMMING,John Thomas Berry,9381430101,512,2
43,C++,SC/C++1.7,C++ PRIMER,Lippman,8131710777,908,2
44,C++,SC/C++-2.10,STL TUTORIAL & REFERENCE GUIDE,David Musser,8178081326,295,1
45,C++,SC/C++-2.2,THE ANNOTATED C++,Ellis  Stroustrup,201514591,480,1
46,C++,SC/C++-2.3,TURBO C++ - DISK TUTOR,Greg Voss& Paul Chui,78817374,512,1
47,C++,SC/C++-2.4,C++ FOR DUMMIES,Stephen R  Davis,111882377X,480,1
48,C++,SC/C++-2.5,C++ PRIMER PLUS,Stephen Prata,9332546185,1265,2
49,C++,SC/C++-2.7,C++ PROGRAMMING LANGUAGE ,B Stroustrup,8131705218,1040,3
50,C++,SC/C++-3.1,C++ FAQS,Marshall Cline,8177586440,624,2
51,C++,SC/C++-3.10,THINKING IN C++ ( VOL-I) INTRODUCTION TO STANDARD C++,Bruce Eckel 64Presiden65t ,8131706613,814,1
52,C++,SC/C++-3.3,BEGINNING C++ THE COMPLETE LANGUAGE,Ivor Horton,186100012X,1000,1
53,C++,SC/C++-3.4,DS ALGORITHMS AND APPLICATION IN C++,Sartaj Sahni,817371522X,832,2
54,C++,SC/C++-3.5,ALGORITHMS IN C++,Robert Sedgewick,8131713059,752,2
55,C++,SC/C++-3.8,TEST YOUR C++ SKILLS,Yashwant Kanetkar,8176565547,389,2
56,C++,SC/C++-4.1,EFFECTIVE STL 50 SPECIFIC WAYS TO IMPROVE YOUR USE OF THE STANDARD TEMPLATE LIBRARY.,Scott Meyers,8177589083,252,1
57,C++,SC/C++-4.10,OBJECT ORIENTED PROGRAMMING WITH C++,E.BALAGURUSAMY,125902993X,584,2
58,C++,SC/C++-4.2,EXCEPTIONAL C++ 47 ENGINEERING PUZZLES  PROGRAMMING PROBLEMS AND SOLUTIONS,Herb Sutter,201615622,240,2
59,C++,SC/C++-4.4,C++ GUI PROGRAMMING WITH QT 3,Jasmin Blanchette,131240722,464,1
60,C++,SC/C++-4.5,APPLIED C++,Philip Romanik,8129705265,352,1
61,C++,SC/C++-4.7,THE COMPLETE REFERENCE C++,Herbert Schildt,007053246X,1068,1
62,C++,SC/C++-4.8,SECURE PROGRAMMING COOKBOOK FOR C AND C++,VIEGA & MESSIER,596003943,790,1
63,C++,SC/C++-4.9(Ref),EFFECTIVE C++ ,SCOTT MEYERS,9351109054,440,2
64,C++,SC/C++-5.1,C++ PROGRAM DESIGN (AN INTRODUCTION TO PROGRAMMING AND OBJECT ORIENTED DESIGN.),JAMES P.COHNOON,72362251,500,1
65,C++,SC/C++-5.3,THE C++ PROGRAMMING LANGUAGE THIRD EDITION.,BJARNE STROUSTRUP,8131705218,1040,1
66,CO,SC/CO-1.1,THE WINN L ROSCH HARDWARE BIBLE,Winn L  Rosch,8176356964,1128,1
67,CO,SC/CO-1.10,THE THEORY & PRACTICE OF COMPILER WRITING,Jean Paul,8178000776,796,1
68,CO,SC/CO-1.2,COMPUTER ORGANIZATION,V chari,1259005275,828,1
69,CO,SC/CO-1.3,THE COMPLETE REFERENCE PC HARDWARE,John  Rourke,70436061,720,1
70,CO,SC/CO-1.4,THE INTEL MICROPROCESSORS,Brey,8131726223,944,1
71,CO,SC/CO-1.5,MICRO COMPUTER BASE DESIGN,John B Peatman,8177585517,280,1
72,CO,SC/CO-1.6,COMPUTER ORGANIZATION &DESIGN. THE HARDWARE SOFTWARE INTERFACE,DAVID A  Patterson John L Henn,123706068,741,1
73,CO,SC/CO-1.7,COMPUTER ORGANIZATION & ARCHITECTURE,William Stallings,933251870X,682,1
74,CO,SC/CO-1.8,FUNDAMENTALS OF COMPUTERS,V  Rajaraman,8120350677,448,1
75,CO,SC/CO-1.9,COMPILERS PRINCIPLES TECHNIQUES& TOOLS, ALERED V AHO,8131797317,688,1
76,CO,SC/CO-2.1,IBM PC ASSEMBLY LANGUAGE AND PROGRAMMING ,PETER ABEL,8120320948,560,1
77,CO,SC/CO-2.2,COMPILER CONSTRUCTION - PRINCIPLES AND PRACTICE,Kenneth C Louden,534939724,592,1
